trial_id,title,status,phase,enrollment,enrollment_type,study_type,sponsor,sponsor_class,eligibility_words,start_date,completion_date
NCT07403071,"Validating Fish Oil's Role in Alleviating Bortezomib-Induced Neuropathy: A Multi-Method Study Integrating Big Data, Experimental, and Clinical Research",NOT_YET_RECRUITING,,200.0,,OBSERVATIONAL,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,,80,2026-05-01,
NCT07135544,"A Single-arm, Multicenter, Exploratory Study of Adebrelimab Combined With Apatinib and Systemic Chemotherapy for Initially Unresectable Biliary Tract Cancer",RECRUITING,PHASE2,37.0,,INTERVENTIONAL,Yongjun Chen,,576,2025-08-14,
NCT06758544,"A Single-arm, Open-label Clinical Study to Evaluate the Efficacy and Safety of VRT106 in Combination With Chemotherapy for Resectable Pancreatic Cancer",RECRUITING,"PHASE1, PHASE2",18.0,,INTERVENTIONAL,Guangdong Provincial People's Hospital,,124,2025-03-17,
NCT05564234,Role of Laparoscopy in Assessing Resectability of Ovarian Cancer,COMPLETED,NA,30.0,,INTERVENTIONAL,Zagazig University,,111,2019-12-09,
NCT05629234,Roll Over StudY for Patients Who Have Completed a Previous Oncology Study With Osimertinib (TAGRISSO) (ROSY-T),ACTIVE_NOT_RECRUITING,PHASE3,37.0,,INTERVENTIONAL,AstraZeneca,,387,2023-05-08,
NCT02860234,Tailored Operative or Non-operative Management for Low-risk Rectal Cancer After Intensive Neoadjuvant Treatment,COMPLETED,,68.0,,OBSERVATIONAL,Peking University Cancer Hospital & Institute,,304,2016-08,
NCT06758934,Comparison of Textbook Outcomes Between Laparoscopic and Open Total Gastrectomy for Gastric Cancer,COMPLETED,,94.0,,OBSERVATIONAL,Bakirkoy Dr. Sadi Konuk Research and Training Hospital,,31,2024-08-01,
NCT06666634,Validation of ICG-99mTc-nanoscan as Hybrid Tracer for Sentinel Node Biopsy,RECRUITING,NA,29.0,,INTERVENTIONAL,The Netherlands Cancer Institute,,148,2023-04-01,
NCT03982264,Endoscopic Treatment of Rectal Neuroendocrine Tumor(NET) Less Than 10mm,UNKNOWN,NA,90.0,,INTERVENTIONAL,"Nanfang Hospital, Southern Medical University",,63,2019-06-20,
NCT06145464,"Shadow for All, a Citizenship Science Study to Promote the Prevention of Skin Cancer",UNKNOWN,NA,60.0,,INTERVENTIONAL,Universidade do Porto,,234,2024-02-01,
NCT06771609,Phase II Clinical Trial of PD-L1 in Combination with Vinorelbine + Cyclophosphamide + Capecitabine (VEX) Metronomic Chemotherapy with or Without Radiotherapy for Advanced Triple-negative Breast Cancer.,RECRUITING,PHASE2,150.0,,INTERVENTIONAL,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,261,2024-09-10,
NCT06858709,Effect of Adding Electroacupuncture to Anti-cancer Therapy-induced Peripheral Neuropathy,RECRUITING,NA,150.0,,INTERVENTIONAL,Zhongnan Hospital,,170,2025-03-20,
NCT04494009,PD-1 Inhibitor INCMGA00012 as Consolidation Therapy After Definitive Concurrent Chemoradiotherapy,ACTIVE_NOT_RECRUITING,PHASE2,110.0,,INTERVENTIONAL,Asan Medical Center,,1229,2020-09-07,
NCT06684509,Atorvaststin and Cardiotoxicity in Acute Myloid Leukemia,NOT_YET_RECRUITING,"PHASE1, PHASE2",46.0,,INTERVENTIONAL,Assiut University,,47,2024-11,
NCT06504199,"Obinutuzumab, Zanubrutinib, and Lenalidomide Followed Short-Cycle of Obinutuzumab and Cytarabine in Newly Diagnosed Mantle Cell Lymphoma",RECRUITING,PHASE2,39.0,,INTERVENTIONAL,"Institute of Hematology & Blood Diseases Hospital, China",,557,2024-07-18,
NCT00121199,"Combination Chemo, Rituximab, and Bevacizumab in Older Patients With Stage II-IV Diffuse Large B-Cell Lymphoma",COMPLETED,PHASE2,73.0,,INTERVENTIONAL,National Cancer Institute (NCI),,866,2005-06,
